TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2010-01-12,EQBR,Аэрофлот,AFLT,1408,51730917.79,52.94,52.94,55.8,54.17,54.28,54.25,952965,54.28,,54.28,51730917.79,,51730917.79,
2010-01-13,EQBR,Аэрофлот,AFLT,762,30933090.57,54.2,53.01,54.45,53.57,54.02,53.5,572589,54.02,,54.02,30933090.57,,30933090.57,
2010-01-14,EQBR,Аэрофлот,AFLT,1299,63524315.85,53.5,53.5,55.27,54.56,54.56,54.6,1164231,54.56,,54.56,63524315.85,,63524315.85,
2010-01-15,EQBR,Аэрофлот,AFLT,1045,62626554.31,54.5,54.45,55.1,54.53,54.66,54.65,1145794,54.66,,54.66,62626554.31,,62626554.31,
2010-01-18,EQBR,Аэрофлот,AFLT,865,19872840.7,54.61,54.1,54.65,54.49,54.42,54.5,365143,54.42,,54.42,19872840.7,,19872840.7,
2010-01-19,EQBR,Аэрофлот,AFLT,1715,73159005.41,54.5,54.11,56.8,54.92,55.01,54.87,1330019,55.01,,55.01,73159005.41,,73159005.41,
2010-01-20,EQBR,Аэрофлот,AFLT,857,17934523.78,54.87,54.5,55.3,54.94,54.87,54.99,326871,54.87,,54.87,17934523.78,,17934523.78,
2010-01-21,EQBR,Аэрофлот,AFLT,784,23694241.86,53.55,53.55,55.48,55.0,54.95,54.9,431232,54.95,,54.95,23694241.86,,23694241.86,
2010-01-22,EQBR,Аэрофлот,AFLT,1777,34664039.26,54.45,52.0,54.65,52.25,52.92,52.14,655041,52.92,,52.92,34664039.26,,34664039.26,
2010-01-25,EQBR,Аэрофлот,AFLT,1481,40142125.66,51.93,47.6,53.5,52.44,52.65,52.48,762371,52.65,,52.65,40142125.66,,40142125.66,
2010-01-26,EQBR,Аэрофлот,AFLT,1274,27429761.44,52.39,50.5,52.93,52.75,51.51,52.54,532548,51.51,,51.51,27429761.44,,27429761.44,
2010-01-27,EQBR,Аэрофлот,AFLT,1027,31482175.52,53.17,52.65,54.4,53.78,53.56,53.8,587847,53.56,,53.56,31482175.52,,31482175.52,
2010-01-28,EQBR,Аэрофлот,AFLT,1010,25253720.12,54.0,53.8,55.0,54.66,54.41,54.65,464132,54.41,,54.41,25253720.12,,25253720.12,
2010-01-29,EQBR,Аэрофлот,AFLT,1036,26467011.32,54.58,54.2,56.49,56.14,55.35,56.48,478188,55.35,,55.35,26467011.32,,26467011.32,
2010-02-01,EQBR,Аэрофлот,AFLT,787,24977813.83,56.0,55.5,56.51,56.47,56.16,56.51,444793,56.16,,56.16,24977813.83,,24977813.83,
2010-02-02,EQBR,Аэрофлот,AFLT,2187,62642564.44,56.53,56.45,57.8,57.0,56.84,57.01,1102100,56.84,,56.84,62642564.44,,62642564.44,
2010-02-03,EQBR,Аэрофлот,AFLT,2187,71190736.83,58.01,56.0,58.21,56.36,57.43,56.35,1239531,57.43,,57.43,71190736.83,,71190736.83,
2010-02-04,EQBR,Аэрофлот,AFLT,2032,40539839.34,55.02,54.0,56.5,54.39,55.35,54.38,732372,55.35,,55.35,40539839.34,,40539839.34,
2010-02-05,EQBR,Аэрофлот,AFLT,2106,56805905.77,52.2,51.26,53.38,52.3,52.15,52.51,1089374,52.15,,52.15,56805905.77,,56805905.77,
2010-02-08,EQBR,Аэрофлот,AFLT,1324,20344161.9,52.35,50.62,53.49,51.13,51.93,51.19,391771,51.93,,51.93,20344161.9,,20344161.9,
2010-02-09,EQBR,Аэрофлот,AFLT,1246,16534909.66,51.2,50.6,52.4,52.3,51.47,52.3,321255,51.47,,51.47,16534909.66,,16534909.66,
2010-02-10,EQBR,Аэрофлот,AFLT,1077,17976724.1,52.95,50.8,52.95,50.98,51.99,51.0,345750,51.99,,51.99,17976724.1,,17976724.1,
2010-02-11,EQBR,Аэрофлот,AFLT,993,14893605.74,51.27,51.27,52.7,51.44,51.92,51.54,286862,51.92,,51.92,14893605.74,,14893605.74,
2010-02-12,EQBR,Аэрофлот,AFLT,1392,22249348.63,52.28,50.15,53.1,50.19,51.31,50.38,433659,51.31,,51.31,22249348.63,,22249348.63,
2010-02-15,EQBR,Аэрофлот,AFLT,606,7985750.29,50.38,50.0,51.5,50.87,50.96,51.03,156702,50.96,,50.96,7985750.29,,7985750.29,
2010-02-15,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
2010-02-16,EQBR,Аэрофлот,AFLT,1493,25497934.23,52.34,50.85,54.25,54.17,53.12,54.01,479992,53.12,,53.12,25497934.23,,25497934.23,
2010-02-16,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
2010-02-17,EQBR,Аэрофлот,AFLT,3147,59563613.78,54.65,54.65,56.81,56.48,55.92,56.59,1065101,55.92,,55.92,59563613.78,,59563613.78,
2010-02-17,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
2010-02-18,EQBR,Аэрофлот,AFLT,2097,34289561.72,56.2,54.57,57.7,55.54,55.65,55.7,616133,55.65,,55.65,34289561.72,,34289561.72,
2010-02-18,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
2010-02-19,EQBR,Аэрофлот,AFLT,1140,18344273.32,54.95,53.5,55.69,55.08,54.92,55.0,333994,54.92,,54.92,18344273.32,,18344273.32,
2010-02-19,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
2010-02-24,EQBR,Аэрофлот,AFLT,909,20680431.24,55.0,54.5,56.2,55.91,55.43,55.75,373112,55.43,,55.43,20680431.24,,20680431.24,
2010-02-24,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
2010-02-25,EQBR,Аэрофлот,AFLT,655,7213585.66,55.7,53.99,55.8,54.64,54.94,54.77,131289,54.94,,54.94,7213585.66,,7213585.66,
2010-02-25,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
2010-02-26,EQBR,Аэрофлот,AFLT,1589,91960835.87,54.8,54.0,57.06,55.36,55.03,55.4,1671075,55.03,,55.03,91960835.87,,91960835.87,
2010-02-26,EQCC,Аэрофлот,AFLT,0,0.0,,,,,,,0,,,,0.0,,0.0,
