Row;s_level_name;e_full_name;e_INN_code;s_sec_type_name_dop;s_sec_form_name_full;s_RTS_code;s_ISIN_code;si_gos_reg_num;si_gos_reg_date;s_face_value;s_face_value_currency;s_quot_list_in_date;s_segment;s_date_defolt;s_date_technic_defolt
1;Некотировальная часть Списка;Citibank, N.A.;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;VALE;US91912E1055;;;;;09.08.2018 0:00:00;;;
2;Некотировальная часть Списка;Акционерное общество "Торговый дом "Энергетические угли";2540088194;Облигации;Облигации биржевые;TDEU01;RU000A0ZZEX2;4B04-01-57045-N;26.07.2018 0:00:00;1000000,000000000000;RUB;26.07.2018 0:00:00;Восход;;
3;Некотировальная часть Списка;The Bank of New York Mellon;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;SOHU;US83410S1087;;;;;11.06.2018 0:00:00;;;
4;Некотировальная часть Списка;Alfa Bond Issuance PLC;;Облигации;Облигации иностранного эмитента;ALFAperp0222;XS1513741311;;;1000,000000000000;USD;06.06.2018 0:00:00;;;
5;Некотировальная часть Списка;Perspecta Inc.;;Акции;Акции иностранного эмитента  обыкновенные;PRSP;US7153471005;;;0,010000000000;USD;04.06.2018 0:00:00;;;
6;Некотировальная часть Списка;Wyndham Hotels & Resorts, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;WH;US98311A1051;;;0,010000000000;USD;04.06.2018 0:00:00;;;
7;Некотировальная часть Списка;Apergy Corporation;;Акции;Акции иностранного эмитента  обыкновенные;APY;US03755L1044;;;0,010000000000;USD;10.05.2018 10:00:00;;;
8;Некотировальная часть Списка;Splunk Inc.;;Акции;Акции иностранного эмитента  обыкновенные;SPLK;US8486371045;;;0,001000000000;USD;23.04.2018 0:00:00;;;
9;Некотировальная часть Списка;Alfa Bond Issuance PLC;;Облигации;Облигации иностранного эмитента;ALFA0421;XS0620695204;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
10;Некотировальная часть Списка;Gaz Capital S.A.;;Облигации;Облигации иностранного эмитента;GAZP0419;XS0424860947;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
11;Некотировальная часть Списка;GPN Capital S.A.;;Облигации;Облигации иностранного эмитента;GPN0922;XS0830192711;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
12;Некотировальная часть Списка;GPN Capital S.A.;;Облигации;Облигации иностранного эмитента;GPN1123;XS0997544860;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
13;Некотировальная часть Списка;GPB Eurobond Finance Plc;;Облигации;Облигации иностранного эмитента;GPB1119;XS1040726587;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
14;Некотировальная часть Списка;MMC Finance Designated Activity Company;;Облигации;Облигации иностранного эмитента;GMKN1022;XS1298447019;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
15;Некотировальная часть Списка;Novatek Finance Designated Activity Company;;Облигации;Облигации иностранного эмитента;NVTK1222;XS0864383723;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
16;Некотировальная часть Списка;Rosneft International Finance Designated Activity Company;;Облигации;Облигации иностранного эмитента ;ROSN0322;XS0861981180;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
17;Некотировальная часть Списка;Evraz Group S.A.;;Облигации;Облигации иностранного эмитента;EVRZ0122;XS1405775377;;;1000,000000000000;USD;16.04.2018 0:00:00;;;
18;Некотировальная часть Списка;Broadcom Inc.;;Акции;Акции иностранного эмитента  обыкновенные;AVGO;US11135F1012;;;0,001000000000;USD;16.04.2018 0:00:00;;;
19;Некотировальная часть Списка;Alfa Bond Issuance PLC;;Облигации;Облигации иностранного эмитента;ALFAperp;XS1760786340;;;1000,000000000000;USD;09.03.2018 0:00:00;;;
20;Некотировальная часть Списка;Gaz Capital S.A.;;Облигации;Облигации иностранного эмитента;GAZP1124;XS1721463500;;;1000,000000000000;EUR;09.03.2018 0:00:00;;;
21;Некотировальная часть Списка;Министерство финансов Российской Федерации;7710168360;Облигации;Облигации внешнего облигационного займа;RUS0628;XS0088543193;MK-0-CM-119;24.06.1998 0:00:00;1000,000000000000;USD;15.02.2018 0:00:00;;;
22;Некотировальная часть Списка;Citibank, N.A.;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;SHPG;US82481R1068;;;;;14.02.2018 0:00:00;;;
23;Некотировальная часть Списка;The Bank of New York Mellon;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;BUD;US03524A1088;;;;;14.02.2018 0:00:00;;;
24;Некотировальная часть Списка;JPMorgan Chase Bank, N.A.;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;TOT;US89151E1091;;;;;14.02.2018 0:00:00;;;
25;Некотировальная часть Списка;Публичное акционерное общество "Фонд регионального развития "Приморское кольцо";2502050778;Акции;Акции обыкновенные;PRIK01;RU000A0ZYNX6;1-01-33128-F;12.02.2015 0:00:00;1000,000000000000;RUB;09.02.2018 0:00:00;Восход;;
26;Некотировальная часть Списка;Arconic Inc.;;Акции;Акции иностранного эмитента  обыкновенные;ARNC;US03965L1008;;;1,000000000000;USD;02.01.2018 0:00:00;;;
27;Некотировальная часть Списка;Общество с ограниченной ответственностью "Инвестторгстрой";6661104190;Облигации;Облигации корпоративные;ITGS01;RU000A0ZYPB7;4-01-10027-R;08.11.2017 0:00:00;1000,000000000000;RUB;28.12.2017 0:00:00;;;
