<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;20100111;000000;4511.0000000;4744.0000000;4510.0000000;4695.4000000;1035219
GMKN;D;20100112;000000;4679.7300000;4695.4000000;4587.0000000;4640.0600000;754512
GMKN;D;20100113;000000;4589.0000000;4730.0000000;4565.1100000;4654.1400000;779058
GMKN;D;20100114;000000;4722.0000000;4907.0000000;4720.0000000;4892.9400000;1401955
GMKN;D;20100115;000000;4874.9900000;4955.0000000;4842.0000000;4884.6200000;821326
GMKN;D;20100118;000000;4869.0000000;5035.0000000;4852.0000000;5027.0000000;976407
GMKN;D;20100119;000000;5015.0000000;5084.9900000;4915.0100000;5040.0000000;1001574
GMKN;D;20100120;000000;5020.0000000;5083.7500000;4911.1100000;4945.0000000;960204
GMKN;D;20100121;000000;4975.0000000;4995.0000000;4856.0300000;4902.9400000;914477
GMKN;D;20100122;000000;4849.9700000;4885.0000000;4753.2300000;4809.1500000;1060295
GMKN;D;20100125;000000;4754.0000000;4825.0000000;4667.0000000;4720.0000000;895308
GMKN;D;20100126;000000;4667.0000000;4697.0000000;4571.0000000;4589.9600000;1007247
GMKN;D;20100127;000000;4578.9400000;4710.0000000;4471.0000000;4622.9600000;1236503
GMKN;D;20100128;000000;4680.0000000;4760.0000000;4651.0800000;4722.0000000;950090
GMKN;D;20100129;000000;4663.9900000;4729.0000000;4604.5400000;4711.3300000;912672
GMKN;D;20100201;000000;4660.1200000;4698.0000000;4621.0700000;4674.9000000;571819
GMKN;D;20100202;000000;4710.2600000;4785.0000000;4692.0000000;4780.0000000;838326
GMKN;D;20100203;000000;4819.9000000;4850.9600000;4719.0000000;4729.3800000;1020540
GMKN;D;20100204;000000;4729.3800000;4749.9600000;4556.0000000;4587.9400000;966112
GMKN;D;20100205;000000;4499.0000000;4553.8000000;4402.0300000;4484.9900000;1314906
GMKN;D;20100208;000000;4488.0000000;4539.8700000;4445.0600000;4500.0000000;913185
GMKN;D;20100209;000000;4526.0000000;4594.0000000;4490.0000000;4575.0900000;896784
GMKN;D;20100210;000000;4607.0000000;4624.0000000;4435.2500000;4472.0000000;968561
GMKN;D;20100211;000000;4519.2800000;4544.0000000;4415.7000000;4431.3300000;671678
GMKN;D;20100212;000000;4485.7700000;4523.9800000;4323.1000000;4411.0000000;1091311
GMKN;D;20100215;000000;4426.0000000;4491.7700000;4391.0100000;4490.0000000;465054
GMKN;D;20100216;000000;4527.0700000;4637.0000000;4510.1600000;4633.0600000;688085
GMKN;D;20100217;000000;4670.0000000;4688.8900000;4580.0000000;4592.0000000;774325
GMKN;D;20100218;000000;4572.7700000;4620.0000000;4522.0000000;4620.0000000;728481
GMKN;D;20100219;000000;4548.0100000;4714.9900000;4486.0200000;4710.0000000;800552
GMKN;D;20100224;000000;4659.9800000;4688.2300000;4502.0000000;4536.0000000;863095
GMKN;D;20100225;000000;4499.5500000;4580.0000000;4390.0000000;4438.0500000;748941
GMKN;D;20100226;000000;4493.2000000;4535.0000000;4421.5500000;4525.0000000;705812
GMKN;D;20100227;000000;4530.0000000;4600.0000000;4517.7700000;4590.0000000;224263
GMKN;D;20100301;000000;4644.0000000;4740.0000000;4620.0100000;4721.4000000;1075969
GMKN;D;20100302;000000;4700.0000000;4760.0000000;4661.3600000;4717.0000000;757832
GMKN;D;20100303;000000;4702.0100000;4812.0000000;4675.0000000;4806.4100000;932087
GMKN;D;20100304;000000;4770.4300000;4900.0000000;4762.0000000;4852.1500000;913606
GMKN;D;20100305;000000;4900.1500000;4939.0000000;4861.0000000;4933.0000000;723829
GMKN;D;20100309;000000;4928.2600000;4931.0000000;4814.1000000;4860.0000000;619179
GMKN;D;20100310;000000;4864.8800000;4967.0000000;4821.0000000;4894.8800000;889703
GMKN;D;20100311;000000;4879.8700000;4930.0000000;4844.5800000;4870.0000000;591269
GMKN;D;20100312;000000;4891.0900000;4988.0000000;4861.0000000;4960.0000000;736758
GMKN;D;20100315;000000;4924.0000000;4965.0000000;4895.0000000;4895.0000000;481876
GMKN;D;20100316;000000;4920.0000000;4975.0000000;4898.0000000;4975.0000000;610542
GMKN;D;20100317;000000;5011.0000000;5113.7700000;4995.0000000;5067.0100000;1093384
GMKN;D;20100318;000000;5049.0000000;5097.6900000;4982.2800000;4982.9100000;660132
GMKN;D;20100319;000000;5000.0000000;5045.0000000;4950.0000000;4987.7500000;686775
GMKN;D;20100322;000000;4942.0600000;4955.0000000;4855.4900000;4927.2000000;627248
GMKN;D;20100323;000000;4948.2000000;5000.0000000;4902.1100000;4983.9400000;740017
GMKN;D;20100324;000000;4990.0000000;4999.0000000;4911.0000000;4931.0000000;561450
GMKN;D;20100325;000000;4925.0000000;5050.0000000;4920.0000000;5040.0000000;743302
GMKN;D;20100326;000000;5046.0000000;5169.9500000;5031.2000000;5154.0000000;933561
GMKN;D;20100329;000000;5158.5700000;5395.0000000;5154.1100000;5387.0000000;1200447
GMKN;D;20100330;000000;5400.0000000;5425.0000000;5291.2500000;5390.0000000;1032711
GMKN;D;20100331;000000;5365.0000000;5497.0000000;5350.0000000;5430.0000000;864695
GMKN;D;20100401;000000;5445.0000000;5674.4600000;5442.0800000;5639.8800000;1210561
GMKN;D;20100402;000000;5650.1700000;5674.7500000;5537.5300000;5628.3000000;661177
GMKN;D;20100405;000000;5656.0000000;5674.9900000;5581.2500000;5600.5800000;392069
GMKN;D;20100406;000000;5600.0000000;5653.0000000;5532.2800000;5545.0000000;680203
GMKN;D;20100407;000000;5538.0000000;5569.9700000;5401.0000000;5410.0000000;740102
GMKN;D;20100408;000000;5356.0000000;5454.0000000;5325.5000000;5453.0000000;849567
GMKN;D;20100409;000000;5500.1300000;5555.0000000;5465.0600000;5541.0000000;639186
GMKN;D;20100412;000000;5581.9000000;5644.8700000;5520.0000000;5614.8400000;847240
GMKN;D;20100413;000000;5568.0000000;5659.9800000;5556.1100000;5638.9000000;657082
GMKN;D;20100414;000000;5680.2600000;5788.3200000;5680.0000000;5760.0000000;883267
GMKN;D;20100415;000000;5800.0000000;5820.0000000;5705.5500000;5811.4100000;942767
GMKN;D;20100416;000000;5771.0000000;5786.7000000;5631.3000000;5641.8300000;828570
GMKN;D;20100419;000000;5553.2600000;5589.8800000;5421.0000000;5529.0000000;1021391
GMKN;D;20100420;000000;5574.0000000;5639.0000000;5550.0000000;5609.0000000;681525
GMKN;D;20100421;000000;5637.9400000;5655.0000000;5466.2600000;5489.7900000;640763
GMKN;D;20100422;000000;5460.0000000;5560.0000000;5350.0000000;5360.0500000;1000470
GMKN;D;20100423;000000;5395.3600000;5592.4000000;5363.2700000;5592.0000000;1186977
GMKN;D;20100426;000000;5650.0000000;5712.0000000;5606.0000000;5670.0000000;713468
GMKN;D;20100427;000000;5635.0000000;5655.0000000;5545.0000000;5602.0100000;668814
GMKN;D;20100428;000000;5475.0000000;5558.0000000;5411.1100000;5452.0000000;986007
GMKN;D;20100429;000000;5490.0000000;5730.5000000;5435.0000000;5727.0000000;1202402
GMKN;D;20100430;000000;5720.0000000;5788.0000000;5610.0000000;5652.9000000;1026075
GMKN;D;20100504;000000;5676.6600000;5700.0000000;5302.6900000;5305.0800000;1285804
GMKN;D;20100505;000000;5286.0000000;5371.0000000;5013.5700000;5075.0000000;2091282
GMKN;D;20100506;000000;5034.0000000;5167.0000000;4951.6400000;5004.0000000;1414160
GMKN;D;20100507;000000;4848.4800000;4929.9900000;4532.0000000;4624.9400000;1322851
GMKN;D;20100511;000000;4900.0000000;4978.7400000;4775.2300000;4829.6000000;1535976
GMKN;D;20100512;000000;4774.1800000;5076.0900000;4755.1200000;5034.9300000;1815332
GMKN;D;20100513;000000;5097.0000000;5179.9900000;4975.0000000;5058.6400000;1240435
GMKN;D;20100514;000000;5014.9600000;5093.0000000;4933.0000000;4975.0000000;1379956
GMKN;D;20100517;000000;4840.0000000;5204.0000000;4795.0000000;5186.8200000;1943773
GMKN;D;20100518;000000;5211.0000000;5277.0000000;5061.0000000;5136.9100000;1371207
GMKN;D;20100519;000000;5043.0100000;5118.8700000;4937.0000000;5050.0000000;1270300
GMKN;D;20100520;000000;5039.0000000;5150.0000000;4821.1200000;4895.4800000;1641233
GMKN;D;20100521;000000;4945.0000000;5000.0000000;4831.7500000;4980.0000000;1263506
