<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;D;20100111;000000;71.6000000;74.2500000;71.1500000;71.9400000;42062610
SBERP;D;20100112;000000;71.5600000;73.6600000;70.8000000;72.4300000;44700443
SBERP;D;20100113;000000;71.5000000;73.7900000;71.5000000;73.1300000;37694300
SBERP;D;20100114;000000;73.9500000;74.6000000;72.8000000;73.2200000;30303860
SBERP;D;20100115;000000;73.3000000;73.6500000;72.6000000;72.8800000;18935977
SBERP;D;20100118;000000;72.2700000;73.9400000;71.9000000;73.9100000;24203415
SBERP;D;20100119;000000;73.9200000;74.4500000;72.2000000;73.5500000;33789039
SBERP;D;20100120;000000;73.4000000;73.7700000;72.0200000;72.1400000;19860399
SBERP;D;20100121;000000;72.4900000;72.7800000;70.5000000;70.7400000;27047713
SBERP;D;20100122;000000;69.6700000;70.0000000;66.9100000;68.2000000;32996719
SBERP;D;20100125;000000;67.2500000;70.8300000;66.3300000;70.2500000;46125144
SBERP;D;20100126;000000;69.0000000;69.8900000;67.9000000;69.2900000;36234778
SBERP;D;20100127;000000;69.2000000;71.5700000;68.3200000;71.3000000;57888122
SBERP;D;20100128;000000;72.2800000;73.6900000;71.6000000;72.1700000;59822621
SBERP;D;20100129;000000;71.5000000;73.2000000;71.3700000;72.7200000;34603386
SBERP;D;20100201;000000;71.9200000;72.4900000;71.5200000;72.1000000;17434595
SBERP;D;20100202;000000;72.6000000;73.2000000;72.3100000;72.6800000;24177752
SBERP;D;20100203;000000;73.0500000;73.5000000;72.1000000;72.3000000;22256890
SBERP;D;20100204;000000;72.1700000;72.6400000;69.4700000;69.7800000;22042656
SBERP;D;20100205;000000;68.3000000;70.0000000;66.8500000;68.3900000;49556721
SBERP;D;20100208;000000;68.1100000;68.9500000;65.8100000;66.0500000;31696216
SBERP;D;20100209;000000;66.6000000;67.3400000;65.5700000;66.8800000;28123981
SBERP;D;20100210;000000;67.5500000;69.1500000;65.6500000;66.2900000;35796013
SBERP;D;20100211;000000;67.4000000;67.9900000;66.2500000;66.6000000;23085632
SBERP;D;20100212;000000;67.2700000;67.3500000;63.9500000;64.0000000;23470322
SBERP;D;20100215;000000;64.0000000;64.6000000;62.8700000;64.4000000;21962871
SBERP;D;20100216;000000;64.9100000;66.7000000;64.4000000;66.7000000;29165294
SBERP;D;20100217;000000;67.2500000;67.7300000;66.0200000;66.6000000;37544999
SBERP;D;20100218;000000;66.1700000;66.3500000;64.0000000;64.8500000;22843808
SBERP;D;20100219;000000;63.7700000;65.8500000;62.3500000;64.9500000;28685042
SBERP;D;20100224;000000;64.9000000;65.4900000;62.8900000;63.5700000;24739922
SBERP;D;20100225;000000;63.5700000;63.6000000;60.8500000;61.8000000;24284536
SBERP;D;20100226;000000;62.2500000;63.7900000;61.7100000;63.7100000;25978967
SBERP;D;20100227;000000;63.6600000;64.7700000;63.1500000;64.5800000;9984674
SBERP;D;20100301;000000;65.0000000;66.8500000;64.6000000;66.3800000;34115104
SBERP;D;20100302;000000;66.4300000;68.0400000;65.9500000;67.4000000;33974268
SBERP;D;20100303;000000;67.4100000;67.9500000;66.0600000;67.6400000;25586207
SBERP;D;20100304;000000;67.0200000;68.4400000;66.6400000;67.5100000;24477106
SBERP;D;20100305;000000;68.1700000;69.9800000;68.0100000;69.2000000;35784012
SBERP;D;20100309;000000;69.2000000;71.1200000;68.8300000;70.7000000;38854886
SBERP;D;20100310;000000;70.5100000;71.9300000;69.4000000;70.1500000;33284363
SBERP;D;20100311;000000;70.1500000;70.9200000;69.0000000;69.6300000;20486437
SBERP;D;20100312;000000;70.1000000;71.5000000;69.8200000;71.1600000;21919578
SBERP;D;20100315;000000;70.7600000;71.3000000;70.0600000;70.2500000;18043170
SBERP;D;20100316;000000;70.9000000;71.2500000;70.3200000;71.1200000;14882016
SBERP;D;20100317;000000;71.9000000;72.2500000;70.8900000;71.4000000;16952034
SBERP;D;20100318;000000;71.3500000;71.8000000;70.1100000;70.1500000;23867939
SBERP;D;20100319;000000;70.2700000;70.8400000;68.6500000;69.0000000;23697730
SBERP;D;20100322;000000;68.4600000;69.4000000;67.6000000;69.0500000;18914220
SBERP;D;20100323;000000;69.3600000;69.9000000;68.4800000;69.2200000;13347809
SBERP;D;20100324;000000;69.5500000;69.7900000;68.5000000;69.5000000;13450525
SBERP;D;20100325;000000;69.2700000;69.5000000;67.8300000;68.1700000;15418421
SBERP;D;20100326;000000;68.0600000;68.2700000;66.8300000;67.2400000;19014403
