securities

SECID;ISSUENAME;NAME;SHORTNAME;ISIN;REGNUMBER;ISSUESIZE;FACEVALUE;FACEUNIT;ISSUEDATE;LATNAME;DEPOSITARYNOTETYPE;HASPROSPECTUS;DECISIONDATE;HASDEFAULT;HASTECHNICALDEFAULT;EMITENTMISMATCHFIRST;EMITENTMISMATCHCUR;LISTLEVEL;ISQUALIFIEDINVESTORS;SHARESPERRECEIPT;TYPE;TYPENAME
;;Публичное акционерное общество "ГАЗ";ПАО "ГАЗ";;2-01-00029-A;;1,00000;;;Public Joint Stock Company "GAZ";;;;;;;;;;;preferred_share;Акция привилегированная 
AAKP;;Публичное акционерное общество "Арсеньевская авиационная компания "Прогресс" им. Н.И. Сазыкина";ПАО ААК "ПРОГРЕСС";RU0009109391;1-01-30472-F;1553646;1,00000;RUB;;PUBLIC JOINT STOCK COMPANY ARSENIEV AIRCRAFT COMPANY "PROGRESS";;;;;;;;;;;common_share;Акция обыкновенная
AAPL;;Apple Inc.;Apple;US0378331005;;5824748000;0,00001;USD;2018-05-21;Apple Inc.;;;;;;;;;0;;common_share;Акция обыкновенная
ABBN;;АО "Банк Астаны";БанкАстаны;KZ1C00001023;;36081627;1000,00000;KZT;2017-12-05;Bank of Astana;;;;;;;;3;0;;common_share;Акция обыкновенная
ABRD;;Абрау-Дюрсо ПАО ао;АбрауДюрсо;RU000A0JS5T7;1-02-12500-A;98000184;1,00000;SUR;2012-10-02;Abrau-Durso ao;;;;;;;;3;0;;common_share;Акция обыкновенная
ABVM;;Публичное акционерное общество "Абаканвагонмаш";ПАО "Абаканвагонмаш";RU000A0ER2T0;1-02-40279-F;1452270;45,00000;RUB;;Public Joint Stock Company "Abakanvagonmash";;;;;;;;;;;common_share;Акция обыкновенная
ACBK;;Акционерное общество "Архангельский целлюлозно-бумажный комбинат";АО "Архангельский ЦБК";RU0005418796;1-02-00008-A;780225;16,00000;RUB;;Joint Stock Company "Arkhangelsk Pulp and Paper Mill";;;;;;;;;;;common_share;Акция обыкновенная
ACKO;;АСКО-СТРАХОВАНИЕ ПАО ао;АСКО ао;RU000A0JXS91;1-01-52065-Z;536000000;1,00000;SUR;2017-07-11;ASKO-STRAKHOVANIE ao;;;;;;;;3;0;;common_share;Акция обыкновенная
ACND;;Акционерное общество "АККОНД";АО "АККОНД";RU000A0JNM73;1-02-55937-D;405243;1,10000;RUB;;Joint-Stock Company "AKKOND";;;;;;;;;;;common_share;Акция обыкновенная
ACRU;;Открытое акционерное общество "Авиационная корпорация "Рубин";ОАО АК "Рубин";RU000A0JRM20;1-03-01692-A;65280;1500,00000;RUB;;Joint Stock Company  "Rubin Aviation Corporation";;;;;;;;;;;common_share;Акция обыкновенная
AESL;;ТПГ АЭССЕЛЬ ПАО ао;АЭССЕЛЬао;RU000A0JU8C3;1-01-14863-A;10000000;1,50000;SUR;2013-11-12;TPG AESSEL' ao;;;;;;;;;;;common_share;Акция обыкновенная
