Symbol,Name,"% Holding",Shares
AAPL,"Apple Inc.",4.37%,55002820
MSFT,"Microsoft Corporation",3.41%,85959650
AMZN,"Amazon.com Inc.",3.16%,4505663
FB,"Facebook Inc. Class A",1.71%,26835068
BRK.B,"Berkshire Hathaway Inc. Class B",1.65%,21533624
JPM,"JPMorgan Chase & Co.",1.61%,38094120
GOOG,"Alphabet Inc. Class C",1.51%,3396296
GOOGL,"Alphabet Inc. Class A",1.50%,3341310
JNJ,"Johnson & Johnson",1.49%,30007544
XOM,"Exxon Mobil Corporation",1.38%,47367676
BAC,"Bank of America Corp",1.20%,105508000
WFC,"Wells Fargo & Company",1.06%,49065710
V,"Visa Inc. Class A",1.05%,19984494
UNH,"UnitedHealth Group Incorporated",1.04%,10751996
PFE,"Pfizer Inc.",1.02%,65452480
T,"AT&T Inc.",0.97%,81243940
HD,"Home Depot Inc.",0.95%,12906838
CVX,"Chevron Corporation",0.93%,21379232
VZ,"Verizon Communications Inc.",0.93%,46226664
INTC,"Intel Corporation",0.90%,52132400
CSCO,"Cisco Systems Inc.",0.89%,52624136
PG,"Procter & Gamble Company",0.86%,28133636
BA,"Boeing Company",0.78%,6127254
MA,"Mastercard Incorporated Class A",0.78%,10259444
MRK,"Merck & Co. Inc.",0.77%,30098916
C,"Citigroup Inc.",0.74%,28529866
KO,"Coca-Cola Company",0.72%,42847290
DIS,"Walt Disney Company",0.69%,16634803
CMCSA,"Comcast Corporation Class A",0.67%,51380390
NVDA,"NVIDIA Corporation",0.67%,6790839
PEP,"PepsiCo Inc.",0.65%,15862937
DWDP,"DowDuPont Inc.",0.65%,25966312
NFLX,"Netflix Inc.",0.61%,4863153
ABBV,"AbbVie Inc.",0.61%,16961192
ORCL,"Oracle Corporation",0.60%,33344384
WMT,"Walmart Inc.",0.57%,16170528
AMGN,"Amgen Inc.",0.54%,7450400
MDT,"Medtronic plc",0.53%,15150716
PM,"Philip Morris International Inc.",0.53%,17391324
ADBE,"Adobe Systems Incorporated",0.52%,5509345
MCD,"McDonald's Corporation",0.52%,8785377
