Date Status Prediction_date Delta Symbol Exit_price Success_count Max/Min
2018-12-01 Busted 2018-11-07 24 TGT 72.61 8 67.35
2018-12-01 Busted 2018-11-07 24 MO 54.43 4 53.21
2018-12-01 Busted 2018-11-08 23 TGT 72.61 8 67.35
2018-12-01 Busted 2018-11-08 23 MO 54.43 4 53.21
2018-12-01 Busted 2018-11-09 22 TGT 74.31 8 67.35
2018-12-01 Busted 2018-11-12 19 TGT 73.24 8 67.35
2018-12-01 Succeeded 2018-11-07 24 POLY 676.5 3 690.0
2018-12-01 Succeeded 2018-11-08 23 POLY 676.5 3 690.0
2018-12-03 Busted 2018-11-07 26 TGT 72.61 9 67.35
2018-12-03 Busted 2018-11-07 26 MO 54.43 4 53.21
2018-12-03 Busted 2018-11-08 25 TGT 72.61 9 67.35
2018-12-03 Busted 2018-11-08 25 MO 54.43 4 53.21
2018-12-03 Busted 2018-11-09 24 TGT 74.31 9 67.35
2018-12-03 Busted 2018-11-12 21 TGT 73.24 9 67.35
2018-12-03 Succeeded 2018-11-07 26 POLY 676.5 3 690.0
2018-12-03 Succeeded 2018-11-08 25 POLY 676.5 3 690.0
